movieId,avg_of_rating,imdbId,tmdbId
110,4.016057252826558,112573,197
147,3.5959331588483994,112461,10474
858,4.339810758717364,68646,238
1221,4.263475012950189,71562,240
1246,3.9128028890959925,97165,207
1968,3.827552515876893,88847,2108
2762,4.021281953145459,167404,745
2918,3.9269283300984834,91042,9377
2959,4.2307160469145675,137523,550
4226,4.1570775807006335,209144,77
4878,3.9725600543888806,246578,141
5577,3.5524292205522543,280760,9685
33794,3.944855598774569,372784,272
54503,3.73027474462839,829482,8363
58559,4.182070707070707,468569,155
59315,3.855209887065843,371746,1726
68358,3.8723525852215426,796366,13475
69844,3.8431253785584496,417741,767
73017,3.7661114570361147,988045,10528
81834,3.8732918180245632,926084,12444
91500,3.5621421650665024,1392170,70160
91542,3.738952195664258,1515091,58574
92439,3.3820754716981134,1645080,64678
96821,3.8701923076923075,1659337,84892
98809,3.7040406295345463,903624,49051
99114,4.00847806888431,1853728,68718
112552,4.120283855706682,2582802,244786
5,3.079564818455892,113041,11862
25,3.6675128965433204,113627,451
32,3.888769242293719,114746,63
58,3.965010863864539,110877,11010
64,2.8375228519195614,118002,19760
79,3.1614385297845375,116731,9623
141,3.5228261714196907,115685,11000
260,4.132299305600623,76759,11
339,3.5089935090326114,114924,2064
377,3.4874077814860356,111257,1637
605,3.308572179858007,117247,7300
628,3.752637379940167,117381,1592
648,3.400149588631264,117060,954
762,2.4176879617557585,117765,9879
780,3.397041864691082,116629,602
786,3.173135120785771,116213,9268
788,2.8617094095099023,117218,9327
1210,3.9896115699843735,86190,1892
1233,4.105434366628397,82096,387
1356,3.665977836315742,117731,199
1475,3.1241217798594847,116743,28005
1552,3.194538731967511,118880,1701
480,3.6602380472059712,107290,329
500,3.3931413515024085,107614,788
527,4.266530696698294,108052,424
1092,3.3524774774774775,103772,402
1097,3.748315096225303,83866,601
1270,3.9225489659200847,88763,105
3101,3.4338213436385256,93010,10998
4474,3.1709827357237717,94715,15592
223,3.856592859331903,109445,2292
415,2.8146577831617203,106292,9409
1197,4.131257482104028,93779,2493
1422,3.084110696517413,119731,9415
1431,2.5797475616752723,118708,9622
1597,3.332478563987499,118883,8834
1617,4.066397501813708,119488,2118
1644,2.479947403024326,119345,3597
1645,3.516589990241182,118971,1813
1732,3.954323444283647,118715,115
1909,3.325736793979039,120902,846
1911,2.671553913645809,118998,3050
2023,3.445889101338432,99674,242
2338,2.1239709917679344,130018,3600
2355,3.5814566559038705,120623,9487
2396,3.813487310024706,138097,1934
2443,3.54176245210728,145734,825
2541,3.2904418736961882,139134,796
2581,3.0576650300054555,151738,11355
2683,3.1940367626104305,145660,817
2692,3.979886324660689,130827,104
2694,3.116386925795053,142342,9032
2706,3.307479376718607,163651,2105
2710,2.886137723204246,185937,2667
2712,3.2328912171199287,120663,345
2716,3.747240455655962,87332,620
2763,3.493805183708345,155267,913
2805,2.8601017441860463,130121,10154
2875,3.0903614457831323,108185,1049
2881,3.2045063454506346,150377,10398
2987,3.528473377703827,96438,856
3004,2.5402392604676454,120596,2020
3005,3.3133675128173063,145681,9481
3114,3.813140562814778,120363,863
3160,3.8583661273866783,175880,334
3203,3.5973502304147464,97162,10493
3285,3.06309926677947,163978,1907
3298,3.499612327970537,181984,14181
3408,3.5817736530033515,195685,462
3409,3.109381603042682,195714,9532
3476,3.677532511978097,99871,2291
3578,3.9548147006363816,172495,98
3623,2.9744713514584262,120755,955
3751,3.519379650110597,120630,7443
3752,2.9745951982132888,183505,2123
3753,3.4606710502058626,187393,2024
3798,3.2194089993284085,161081,2655
3908,2.172275641025641,192731,12212
3909,2.796164772727273,206420,14629
3977,2.7718020304568527,160127,4327
4014,3.697468450661396,241303,392
4084,3.088294247344157,92644,96
4238,3.26131090487239,164334,2043
4848,3.819624700338927,166924,1018
4896,3.6547724884829873,241527,671
5679,3.3681152499204075,298130,565
7,3.372105297882167,114319,11860
157,2.7914691943127963,109370,1775
296,4.169975313136369,110912,680
541,4.12244293712317,83658,78
750,4.213030410183875,57012,935
908,4.205228001893441,53125,213
1193,4.22913497743311,73486,510
1198,4.134613773809324,82971,85
1201,4.119727013810522,60196,429
1204,4.1150584307178635,56172,947
1225,4.064012270998963,86879,279
1230,4.045821386853563,75686,703
1254,4.128207350901525,40897,3090
1263,3.970385953556113,77416,11778
1302,3.62373132224415,97351,2323
1945,4.134570403867145,47296,654
2163,2.5010378827192525,80391,2182
2707,3.4481486037643005,137363,1073
2877,3.0743280307185956,73812,11326
3079,3.7676010430247717,178737,10399
3156,3.1025396825396827,182789,2277
3198,3.9664463141025643,70511,5924
3255,3.496856948691811,104694,11287
11,3.6605905006418484,112346,9087
2565,3.749020059949274,49408,16520
2628,3.086590155714644,120915,1893
293,4.080149006140683,110413,101
318,4.429014514393623,111161,278
2571,4.154098255515649,133093,603
2858,4.1307037094628445,169547,14
3535,3.574484210526316,144084,1359
3948,3.4158160761605654,212338,1597
4022,3.6428315340795923,162222,8358
4306,3.786280348144755,126029,808
4993,4.104167033276435,120737,120
5618,4.202589307120594,245429,129
5810,3.2704778156996586,298203,65
5816,3.616070567820303,295297,672
6377,3.855150942839437,266543,12
6934,3.1856384799726123,242653,605
7153,4.109477786137315,167260,122
8368,3.7872777671573314,304141,673
8533,3.7190300474433315,332280,11036
8961,3.8578421234057223,317705,9806
30793,3.233413751507841,367594,118
35836,3.4695676905574517,405422,6957
39183,3.6130211674150097,388795,142
40815,3.754392170734583,330373,674
41566,3.4161512027491407,363771,411
50872,3.8163040962740107,382932,2062
51255,3.85052440659254,425112,4638
54001,3.768272493998841,373889,675
54272,3.436550284189769,462538,35
55247,3.899957698815567,758758,5915
60074,3.1530345040049292,448157,8960
63082,3.862503516174402,1010048,12405
68954,3.9786286731967944,1049413,14160
