matched_ids_avg,movieId_movies_metadata,avg_of_rating,budget,director_id,top_actor_id,genres,original_language,release_date,revenue,spoken_languages,runtime,production_countries,vote_count
tt0114709,tt0114709,3.8881574960610834,30000000,7879,31,16,100,199510,373554033,1,81.0,27,5415
tt0113497,tt0113497,3.2369531849577897,65000000,4945,2157,12,100,199512,262797249,2,104.0,27,2413
tt0114885,tt0114885,2.8757128480375718,16000000,2178,8851,35,100,199512,81452156,1,127.0,27,34
tt0113277,tt0113277,3.841763756945689,60000000,638,1158,28,100,199512,187436818,2,170.0,27,1886
tt0114576,tt0114576,3.008365362875876,35000000,37710,15111,28,100,199512,64350171,1,106.0,27,174
tt0113189,tt0113189,3.431840536054589,58000000,10702,517,12,100,199511,352194034,3,130.0,70,1194
tt0112346,tt0112346,3.660590500641848,62000000,3026,3392,35,100,199511,107879496,1,106.0,27,199
tt0113987,tt0113987,3.4308065226972237,44000000,1152,4173,36,100,199512,13681765,1,192.0,27,72
tt0112760,tt0112760,2.72704,98000000,16938,16935,28,100,199512,10017322,2,119.0,4,137
tt0112641,tt0112641,3.795511039625677,52000000,1032,380,18,100,199511,116112375,1,178.0,4,1343
tt0114388,tt0114388,3.95222707064054,16500000,1614,204,18,100,199512,135000000,1,136.0,70,364
tt0113101,tt0113101,3.409031198686371,4000000,3110,3129,80,100,199512,4300000,1,98.0,27,539
tt0112281,tt0112281,2.633983148851809,30000000,4489,206,80,100,199511,212385533,1,90.0,27,1128
tt0113845,tt0113845,2.894070547500541,60000000,52629,10814,28,100,199511,35431113,1,103.0,27,224
tt0113161,tt0113161,3.572137060414788,30250000,5174,8891,35,100,199510,115101622,1,105.0,27,305
tt0112401,tt0112401,3.157631359466222,50000000,7187,16483,28,100,199510,30303072,3,132.0,4,394
tt0113627,tt0113627,3.66751289654332,3600000,6111,2963,18,100,199510,49800000,1,112.0,27,365
tt0114011,tt0114011,3.424864864864865,12000000,15798,6886,35,100,199510,27400000,1,100.0,27,91
tt0112682,tt0112682,3.920885116702031,18000000,2419,2372,14,4,199505,1738611,2,108.0,4,308
tt0114746,tt0114746,3.888769242293719,29500000,280,62,878,100,199512,168840000,2,129.0,27,2470
