movieId_movies_metadata,avg_of_rating,budget,director_id,top_actor_id,genres,original_language,release_date,revenue,spoken_languages,runtime,production_countries,vote_count
0114709,3.8881574960610834,30000000,7879,31,16,100,199510,373554033,100,81.0,27,5415
0113497,3.2369531849577897,65000000,4945,2157,12,100,199512,262797249,100,104.0,27,2413
0114885,2.875712848037572,16000000,2178,8851,35,100,199512,81452156,100,127.0,27,34
0113277,3.841763756945689,60000000,638,1158,28,100,199512,187436818,100,170.0,27,1886
0114576,3.008365362875876,35000000,37710,15111,28,100,199512,64350171,100,106.0,27,174
0113189,3.431840536054589,58000000,10702,517,12,100,199511,352194034,100,130.0,70,1194
0112346,3.660590500641848,62000000,3026,3392,35,100,199511,107879496,100,106.0,27,199
0113987,3.430806522697224,44000000,1152,4173,36,100,199512,13681765,100,192.0,27,72
0112760,2.72704,98000000,16938,16935,28,100,199512,10017322,100,119.0,4,137
0112641,3.795511039625677,52000000,1032,380,18,100,199511,116112375,100,178.0,4,1343
0114388,3.95222707064054,16500000,1614,204,18,100,199512,135000000,100,136.0,70,364
0113101,3.409031198686371,4000000,3110,3129,80,100,199512,4300000,100,98.0,27,539
0112281,2.633983148851809,30000000,4489,206,80,100,199511,212385533,100,90.0,27,1128
0113845,2.894070547500541,60000000,52629,10814,28,100,199511,35431113,100,103.0,27,224
0113161,3.572137060414788,30250000,5174,8891,35,100,199510,115101622,100,105.0,27,305
0112401,3.157631359466222,50000000,7187,16483,28,100,199510,30303072,100,132.0,4,394
0113627,3.66751289654332,3600000,6111,2963,18,100,199510,49800000,100,112.0,27,365
0114011,3.424864864864865,12000000,15798,6886,35,100,199510,27400000,100,100.0,27,91
0112682,3.920885116702031,18000000,2419,2372,14,4,199505,1738611,161,108.0,4,308
0114746,3.888769242293719,29500000,280,62,878,100,199512,168840000,100,129.0,27,2470
0112431,3.6205942448493103,30000000,58137,58136,14,100,199507,254134910,100,89.0,14,756
0112818,3.931581828133552,11000000,504,4038,18,100,199512,39363635,100,122.0,27,350
0113855,2.6292445482866045,18000000,4014,38559,28,100,199508,122195920,100,101.0,27,452
0114681,3.372715946843854,20000000,5216,2227,14,100,199505,21284514,100,106.0,27,177
0113347,3.2690225563909774,10000000,3047,1920,18,100,199510,23574130,100,116.0,27,38
0114369,4.068128299593604,33000000,7467,287,80,100,199509,327311859,100,127.0,27,5915
0114148,2.956655762455964,55000000,65530,65529,12,100,199506,346079773,100,81.0,27,1509
0114814,4.300188962561792,6000000,9032,9045,18,100,199507,23341568,52,106.0,27,3334
0113819,3.5355968272393112,15000000,1243,1243,35,100,199509,6700000,100,95.0,27,145
0113118,3.5509585289514867,3500000,37932,9778,35,100,199504,28215918,100,91.0,27,513
0116367,3.3079605263157896,19000000,2294,1461,27,100,199601,25836616,100,108.0,27,1644
0113010,2.354518736223365,50000000,70850,13021,28,100,199511,11534477,100,91.0,27,54
0115676,2.459731543624161,15000000,58712,8872,35,100,199601,2042530,100,90.0,27,16
0114367,3.016246953696182,20000000,25735,27811,27,100,199509,5781885,100,108.0,200,154
0114660,3.2703649635036496,8000000,5501,1271,18,100,199512,529766,100,116.0,27,87
0118158,3.485175495966863,38000000,578,1229,28,100,199602,10300000,89,129.0,27,86
0113972,3.1365479293368086,8169363,12840,85,80,100,199511,8175346,100,90.0,27,190
